com_name,sci_name_bw,cavity
European Robin,Erithacus rubecula,0
Great Tit,Parus major,1
Song Thrush,Turdus philomelos,0
Spotted Flycatcher,Muscicapa striata,0
Tree Pipit,Anthus trivialis,0
Common Chaffinch,Fringilla coelebs,0
Eurasian Blackbird,Turdus merula,0
European Goldfinch,Carduelis carduelis,0
Great Spotted Woodpecker,Dendrocopos major,1
Long-tailed Tit,Aegithalos caudatus,0
Rook,Corvus frugilegus,0
Redwing,Turdus iliacus,0
Barn Swallow,Hirundo rustica,0
Black Woodpecker,Dryocopus martius,1
Common Buzzard,Buteo buteo,0
Common Crane,Grus grus,0
Common Raven,Corvus corax,0
Common Wood-Pigeon,Columba palumbus,0
Eurasian Blackcap,Sylvia atricapilla,0
Eurasian Bullfinch,Pyrrhula pyrrhula,0
Eurasian Coot,Fulica atra,0
Eurasian Curlew,Numenius arquata,0
Eurasian Golden Oriole,Oriolus oriolus,0
Fieldfare,Turdus pilaris,0
Goldcrest,Regulus regulus,0
Water Rail,Rallus aquaticus,0
Wood Lark,Lullula arborea,0
Great Bittern,Botaurus stellaris,0
Carrion Crow,Corvus corone,0
Common Quail,Coturnix coturnix,0
Common Redstart,Phoenicurus phoenicurus,1
Eurasian Kestrel,Falco tinnunculus,1
Eurasian Nuthatch,Sitta europaea,1
European Starling,Sturnus vulgaris,1
Hawfinch,Coccothraustes coccothraustes,0
Mistle Thrush,Turdus viscivorus,0
Willow Warbler,Phylloscopus trochilus,0
Red-backed Shrike,Lanius collurio,0
Short-toed Treecreeper,Certhia brachydactyla,1
Peregrine Falcon,Falco peregrinus,0
Cirl Bunting,Emberiza cirlus,0
Crested Lark,Galerida cristata,0
Eurasian Moorhen,Gallinula chloropus,0
Eurasian Thick-knee,Burhinus oedicnemus,0
Graylag Goose,Anser anser,0
Red-billed Chough,Pyrrhocorax pyrrhocorax,1
Rock Sparrow,Petronia petronia,1
Spotless Starling,Sturnus unicolor,1
Western Bonelli's Warbler,Phylloscopus bonelli,0
White Stork,Ciconia ciconia,0
Common Cuckoo,Cuculus canorus,0
European Turtle-Dove,Streptopelia turtur,0
Bank Swallow,Riparia riparia,1
Yellow-legged Gull,Larus michahellis,0
Savi's Warbler,Locustella luscinioides,0
Wood Sandpiper,Tringa glareola,0
Black Kite,Milvus migrans,0
Brambling,Fringilla montifringilla,0
Cetti's Warbler,Cettia cetti,0
Common Redshank,Tringa totanus,0
Common Ringed Plover,Charadrius hiaticula,0
Common Shelduck,Tadorna tadorna,1
Eurasian Skylark,Alauda arvensis,0
Mute Swan,Cygnus olor,0
Northern Lapwing,Vanellus vanellus,0
Red Kite,Milvus milvus,0
Zitting Cisticola,Cisticola juncidis,0
Common Nightingale,Luscinia megarhynchos,0
European Pied Flycatcher,Ficedula hypoleuca,1
Garden Warbler,Sylvia borin,0
Green-winged Teal,Anas crecca,0
Mandarin Duck,Aix galericulata,1
Pied Avocet,Recurvirostra avosetta,0
Spotted Crake,Porzana porzana,0
Common Firecrest,Regulus ignicapilla,0
Eurasian Reed Warbler,Acrocephalus scirpaceus,0
Icterine Warbler,Hippolais icterina,0
Reed Bunting,Emberiza schoeniclus,0
Cory's Shearwater,Calonectris diomedea,1
Eurasian Treecreeper,Certhia familiaris,1
Bearded Reedling,Panurus biarmicus,0
Dunnock,Prunella modularis,0
Eurasian Oystercatcher,Haematopus ostralegus,0
Eurasian Wren,Troglodytes troglodytes,1
Water Pipit,Anthus spinoletta,0
Eurasian Woodcock,Scolopax rusticola,0
Greater White-fronted Goose,Anser albifrons,0
Northern Pintail,Anas acuta,0
Red-throated Loon,Gavia stellata,0
Yellowhammer,Emberiza citrinella,0
Eurasian Sparrowhawk,Accipiter nisus,0
Stock Dove,Columba oenas,0
Herring Gull,Larus argentatus,0
Pink-footed Goose,Anser brachyrhynchus,0
Sedge Warbler,Acrocephalus schoenobaenus,0
Wood Warbler,Phylloscopus sibilatrix,0
Whooper Swan,Cygnus cygnus,0
Barnacle Goose,Branta leucopsis,0
Canada Goose,Branta canadensis,0
Common Gull,Larus canus,0
Red-legged Partridge,Alectoris rufa,0
Black-legged Kittiwake,Rissa tridactyla,0
Marsh Warbler,Acrocephalus palustris,0
Collared Flycatcher,Ficedula albicollis,1
Whinchat,Saxicola rubetra,0
Northern Wheatear,Oenanthe oenanthe,1
Bohemian Waxwing,Bombycilla garrulus,0
Common Goldeneye,Bucephala clangula,1
Syrian Woodpecker,Dendrocopos syriacus,1
Tundra Swan,Cygnus columbianus,0
Eurasian Three-toed Woodpecker,Picoides tridactylus,1
Yellow-billed Chough,Pyrrhocorax graculus,0
Arctic Tern,Sterna paradisaea,0
Common Rosefinch,Carpodacus erythrinus,0
Thrush Nightingale,Luscinia luscinia,0
Tufted Titmouse,Baeolophus bicolor,1
Pine Grosbeak,Pinicola enucleator,0
White-winged Crossbill,Loxia leucoptera,0
Great Blue Heron,Ardea herodias,0
Common Loon,Gavia immer,0
Sulphur-crested Cockatoo,Cacatua galerita,1
Bushtit,Psaltriparus minimus,0
American Coot,Fulica americana,0
American Robin,Turdus migratorius,0
Anna's Hummingbird,Calypte anna,0
Ash-throated Flycatcher,Myiarchus cinerascens,1
Black-throated Sparrow,Amphispiza bilineata,0
Broad-tailed Hummingbird,Selasphorus platycercus,0
Cactus Wren,Campylorhynchus brunneicapillus,0
Cooper's Hawk,Accipiter cooperii,0
Costa's Hummingbird,Calypte costae,0
Curve-billed Thrasher,Toxostoma curvirostre,0
Gambel's Quail,Callipepla gambelii,0
Gila Woodpecker,Melanerpes uropygialis,1
Hooded Oriole,Icterus cucullatus,0
Mourning Dove,Zenaida macroura,0
Northern Cardinal,Cardinalis cardinalis,0
Northern Flicker,Colaptes auratus,1
Phainopepla,Phainopepla nitens,0
Pyrrhuloxia,Cardinalis sinuatus,0
Red-winged Blackbird,Agelaius phoeniceus,0
Rufous Hummingbird,Selasphorus rufus,0
Savannah Sparrow,Passerculus sandwichensis,0
Say's Phoebe,Sayornis saya,0
Townsend's Solitaire,Myadestes townsendi,0
Verdin,Auriparus flaviceps,0
White-crowned Sparrow,Zonotrichia leucophrys,0
White-winged Dove,Zenaida asiatica,0
Wild Turkey,Meleagris gallopavo,0
Black-chinned Hummingbird,Archilochus alexandri,0
Black-headed Grosbeak,Pheucticus melanocephalus,0
Black-tailed Gnatcatcher,Polioptila melanura,0
Brewer's Blackbird,Euphagus cyanocephalus,0
Brown-headed Cowbird,Molothrus ater,0
Brown Creeper,Certhia americana,1
Cassin's Kingbird,Tyrannus vociferans,0
Common Ground Dove,Columbina passerina,0
Eastern Meadowlark,Sturnella magna,0
Marsh Wren,Cistothorus palustris,0
Pacific-slope Flycatcher,Empidonax difficilis,0
Western Tanager,Piranga ludoviciana,0
Belted Kingfisher,Megaceryle alcyon,1
Canyon Wren,Catherpes mexicanus,1
Dark-eyed Junco,Junco hyemalis,0
Hermit Thrush,Catharus guttatus,0
Killdeer,Charadrius vociferus,0
White-breasted Nuthatch,Sitta carolinensis,1
Acorn Woodpecker,Melanerpes formicivorus,1
Bewick's Wren,Thryomanes bewickii,1
Cedar Waxwing,Bombycilla cedrorum,0
Northern Mockingbird,Mimus polyglottos,0
Western Bluebird,Sialia mexicana,1
Pygmy Nuthatch,Sitta pygmaea,1
Rufous-crowned Sparrow,Aimophila ruficeps,0
Song Sparrow,Melospiza melodia,0
Western Kingbird,Tyrannus verticalis,0
Blue-gray Gnatcatcher,Polioptila caerulea,0
Hutton's Vireo,Vireo huttoni,0
Red-tailed Hawk,Buteo jamaicensis,0
Western Meadowlark,Sturnella neglecta,0
Blue Grosbeak,Passerina caerulea,0
Yellow-billed Cuckoo,Coccyzus americanus,0
Eastern Bluebird,Sialia sialis,1
Greater Yellowlegs,Tringa melanoleuca,0
Loggerhead Shrike,Lanius ludovicianus,0
Purple Martin,Progne subis,1
Red-breasted Nuthatch,Sitta canadensis,1
American Woodcock,Scolopax minor,0
California Quail,Callipepla californica,0
Ring-billed Gull,Larus delawarensis,0
Violet-green Swallow,Tachycineta thalassina,1
Great-tailed Grackle,Quiscalus mexicanus,0
Cassin's Vireo,Vireo cassinii,0
Northern Rough-winged Swallow,Stelgidopteryx serripennis,1
Steller's Jay,Cyanocitta stelleri,0
Turkey Vulture,Cathartes aura,0
Warbling Vireo,Vireo gilvus,0
Western Wood-Pewee,Contopus sordidulus,0
Common Yellowthroat,Geothlypis trichas,0
California Scrub-Jay,Aphelocoma californica,0
Golden-crowned Sparrow,Zonotrichia atricapilla,0
Oak Titmouse,Baeolophus inornatus,1
Red-shouldered Hawk,Buteo lineatus,0
Spotted Towhee,Pipilo maculatus,0
Fox Sparrow,Passerella iliaca,0
Cliff Swallow,Petrochelidon pyrrhonota,1
Lesser Yellowlegs,Tringa flavipes,0
Sora,Porzana carolina,0
Tree Swallow,Tachycineta bicolor,1
Wrentit,Chamaea fasciata,0
Black Turnstone,Arenaria melanocephala,0
Long-billed Dowitcher,Limnodromus scolopaceus,0
Pied-billed Grebe,Podilymbus podiceps,0
White-throated Sparrow,Zonotrichia albicollis,0
American Crow,Corvus brachyrhynchos,0
Cackling Goose,Branta hutchinsii,0
Bald Eagle,Haliaeetus leucocephalus,0
Wood Duck,Aix sponsa,1
Black-billed Magpie,Pica hudsonia,0
Chipping Sparrow,Spizella passerina,0
Laysan Albatross,Phoebastria immutabilis,0
Olive-sided Flycatcher,Contopus cooperi,0
Swainson's Thrush,Catharus ustulatus,0
Vaux's Swift,Chaetura vauxi,1
Willow Flycatcher,Empidonax traillii,0
Golden-crowned Kinglet,Regulus satrapa,0
Lazuli Bunting,Passerina amoena,0
Glaucous-winged Gull,Larus glaucescens,0
Northwestern Crow,Corvus caurinus,0
Cordilleran Flycatcher,Empidonax occidentalis,0
Yellow-green Vireo,Vireo flavoviridis,0
Trumpeter Swan,Cygnus buccinator,0
Black-crested Titmouse,Baeolophus atricristatus,1
Baltimore Oriole,Icterus galbula,0
Black-billed Cuckoo,Coccyzus erythropthalmus,0
Great Crested Flycatcher,Myiarchus crinitus,1
Ruby-throated Hummingbird,Archilochus colubris,0
Yellow-throated Vireo,Vireo flavifrons,0
Inca Dove,Columbina inca,0
Eastern Phoebe,Sayornis phoebe,0
Veery,Catharus fuscescens,0
Dusky-capped Flycatcher,Myiarchus tuberculifer,1
Limpkin,Aramus guarauna,0
Blue Jay,Cyanocitta cristata,0
Carolina Wren,Thryothorus ludovicianus,1
Common Grackle,Quiscalus quiscula,0
Fish Crow,Corvus ossifragus,0
Red-bellied Woodpecker,Melanerpes carolinus,1
Red-headed Woodpecker,Melanerpes erythrocephalus,1
Rusty Blackbird,Euphagus carolinus,0
Acadian Flycatcher,Empidonax virescens,0
Blue-headed Vireo,Vireo solitarius,0
Gray Catbird,Dumetella carolinensis,0
Boat-tailed Grackle,Quiscalus major,0
Chimney Swift,Chaetura pelagica,1
Orchard Oriole,Icterus spurius,0
Rose-breasted Grosbeak,Pheucticus ludovicianus,0
Scarlet Tanager,Piranga olivacea,0
Greater Prairie-Chicken,Tympanuchus cupido,0
Indigo Bunting,Passerina cyanea,0
Wood Thrush,Hylocichla mustelina,0
Worm-eating Warbler,Helmitheros vermivorum,0
Yellow-bellied Flycatcher,Empidonax flaviventris,0
Eastern Kingbird,Tyrannus tyrannus,0
Brown Thrasher,Toxostoma rufum,0
Red-eyed Vireo,Vireo olivaceus,0
Swamp Sparrow,Melospiza georgiana,0
Yellow-bellied Sapsucker,Sphyrapicus varius,1
Eastern Towhee,Pipilo erythrophthalmus,0
Field Sparrow,Spizella pusilla,0
Clay-colored Sparrow,Spizella pallida,0
Harris's Sparrow,Zonotrichia querula,0
Ovenbird,Seiurus aurocapilla,0
Semipalmated Sandpiper,Calidris pusilla,0
Golden-winged Warbler,Vermivora chrysoptera,0
Least Flycatcher,Empidonax minimus,0
Northern Bobwhite,Colinus virginianus,0
Alder Flycatcher,Empidonax alnorum,0
Black-and-white Warbler,Mniotilta varia,0
Prothonotary Warbler,Protonotaria citrea,0
Dickcissel,Spiza americana,0
Red-necked Grebe,Podiceps grisegena,0
Brown-headed Nuthatch,Sitta pusilla,1
Mississippi Kite,Ictinia mississippiensis,0
Painted Bunting,Passerina ciris,0
White-eyed Vireo,Vireo griseus,0
Gray Kingbird,Tyrannus dominicensis,0
Rufous-collared Sparrow,Zonotrichia capensis,0
Orange-billed Sparrow,Arremon aurantiirostris,0
Ruby-crowned Tanager,Tachyphonus coronatus,0
Social Flycatcher,Myiozetetes similis,0
Bonin Petrel,Pterodroma hypoleuca,1
White-tipped Dove,Leptotila verreauxi,0
Blue-headed Parrot,Pionus menstruus,1
Chestnut-headed Oropendola,Psarocolius wagleri,0
Clay-colored Thrush,Turdus grayi,0
Flame-rumped Tanager,Ramphocelus flammigerus,0
Orange-chinned Parakeet,Brotogeris jugularis,1
Little Tinamou,Crypturellus soui,0
Groove-billed Ani,Crotophaga sulcirostris,0
Melodious Blackbird,Dives dives,0
Austral Thrush,Turdus falcklandii,0
Carib Grackle,Quiscalus lugubris,0
Scaly-naped Pigeon,Patagioenas squamosa,0
Yellow-throated Toucan,Ramphastos ambiguus,1
Australasian Darter,Anhinga novaehollandiae,0
Australasian Figbird,Sphecotheres vieilloti,0
Australian King-Parrot,Alisterus scapularis,1
Australian Magpie,Gymnorhina tibicen,0
Blue-faced Honeyeater,Entomyzon cyanotis,0
Bush Thick-knee,Burhinus grallarius,0
Common Bronzewing,Phaps chalcoptera,0
Gray Butcherbird,Cracticus torquatus,0
Laughing Kookaburra,Dacelo novaeguineae,1
Magpie-lark,Grallina cyanoleuca,0
Masked Lapwing,Vanellus miles,0
Noisy Friarbird,Philemon corniculatus,0
Noisy Miner,Manorina melanocephala,0
Olive-backed Oriole,Oriolus sagittatus,0
Pacific Koel,Eudynamys orientalis,0
Pied Butcherbird,Cracticus nigrogularis,0
Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,1
Torresian Crow,Corvus orru,0
Black-faced Cuckooshrike,Coracina novaehollandiae,0
Little Corella,Cacatua sanguinea,1
Maned Duck,Chenonetta jubata,1
Red-tailed Black-Cockatoo,Calyptorhynchus banksii,1
Pied Currawong,Strepera graculina,0
Musk Lorikeet,Glossopsitta concinna,1
Channel-billed Cuckoo,Scythrops novaehollandiae,0
Brush Cuckoo,Cacomantis variolosus,0
Sacred Kingfisher,Todiramphus sanctus,1
Little Friarbird,Philemon citreogularis,0
Bar-shouldered Dove,Geopelia humeralis,0
Silvereye,Zosterops lateralis,0
Fan-tailed Cuckoo,Cacomantis flabelliformis,0
Rufous Fantail,Rhipidura rufifrons,0
Spotted Pardalote,Pardalotus punctatus,0
Eastern Whipbird,Psophodes olivaceus,0
Mistletoebird,Dicaeum hirundinaceum,0
Striated Pardalote,Pardalotus striatus,1
Crimson Rosella,Platycercus elegans,1
Peaceful Dove,Geopelia placida,0
Rufous Whistler,Pachycephala rufiventris,0
Scarlet Myzomela,Myzomela sanguinolenta,0
Spangled Drongo,Dicrurus bracteatus,0
Wonga Pigeon,Leucosarcia melanoleuca,0
Australian Raven,Corvus coronoides,0
Little Wattlebird,Anthochaera chrysoptera,0
Golden Whistler,Pachycephala pectoralis,0
Willie-wagtail,Rhipidura leucophrys,0
Eastern Yellow Robin,Eopsaltria australis,0
Gray Shrikethrush,Colluricincla harmonica,0
Pheasant Coucal,Centropus phasianinus,0
Brown Honeyeater,Lichmera indistincta,0
Orange-footed Scrubfowl,Megapodius reinwardt,0
New Holland Honeyeater,Phylidonyris novaehollandiae,0
Red Wattlebird,Anthochaera carunculata,0
Little Raven,Corvus mellori,0
Brush Bronzewing,Phaps elegans,0
Eastern Spinebill,Acanthorhynchus tenuirostris,0
Gray Currawong,Strepera versicolor,0
Yellow Thornbill,Acanthiza nana,0
New Zealand Fantail,Rhipidura fuliginosa,0
Tui,Prosthemadera novaeseelandiae,0
Yellow-rumped Thornbill,Acanthiza chrysorrhoa,0
Superb Fairywren,Malurus cyaneus,0
Red-browed Firetail,Neochmia temporalis,0
Australian Reed Warbler,Acrocephalus australis,0
Western Corella,Cacatua pastinator,1
Forest Raven,Corvus tasmanicus,0
White-winged Fairywren,Malurus leucopterus,0
Collared Sparrowhawk,Accipiter cirrocephalus,0
Purple-throated Euphonia,Euphonia chlorotica,0
Rufous-browed Peppershrike,Cyclarhis gujanensis,0
Sick's Swift,Chaetura meridionalis,1
Slaty-breasted Wood-Rail,Aramides saracura,0
Red-breasted Toucan,Ramphastos dicolorus,1
Swallow-tailed Manakin,Chiroxiphia caudata,0
Variable Antshrike,Thamnophilus caerulescens,0
Violet-capped Woodnymph,Thalurania glaucopis,0
Collared Forest-Falcon,Micrastur semitorquatus,1
Curl-crested Jay,Cyanocorax cristatellus,0
Plumbeous Pigeon,Patagioenas plumbea,0
White-shouldered Fire-eye,Pyriglena leucoptera,0
Brown Tinamou,Crypturellus obsoletus,0
Rufous-capped Spinetail,Synallaxis ruficapilla,0
Spix's Spinetail,Synallaxis spixi,0
Scale-throated Hermit,Phaethornis eurynome,0
Pale-breasted Thrush,Turdus leucomelas,0
Swallow-tailed Hummingbird,Eupetomena macroura,0
Dusky-legged Guan,Penelope obscura,0
Rufous-capped Motmot,Baryphthengus ruficapillus,1
Rufous-bellied Thrush,Turdus rufiventris,0
Toco Toucan,Ramphastos toco,1
Great Thrush,Turdus fuscater,0
Lesser Woodcreeper,Xiphorhynchus fuscus,1
White-throated Hummingbird,Leucochloris albicollis,0
Brazilian Ruby,Clytolaema rubricauda,0
Pale-browed Treehunter,Cichlocolaptes leucophrus,1
Short-crested Flycatcher,Myiarchus ferox,1
White-crested Elaenia,Elaenia albiceps,0
Indigo Macaw,Anodorhynchus leari,1
Scaled Dove,Columbina squammata,0
Double-collared Seedeater,Sporophila caerulescens,0
Brazilian Tanager,Ramphocelus bresilius,0
White-breasted Sunbird,Cinnyris talatala,0
Lesser Goldfinch,Spinus psaltria,0
Olive-backed Sunbird,Cinnyris jugularis,0
Purple-throated Sunbird,Leptocoma sperata,0
Eurasian Siskin,Spinus spinus,0
Caspian Tern,Hydroprogne caspia,0
European Greenfinch,Chloris chloris,0
Eurasian Linnet,Linaria cannabina,0
Iberian Green Woodpecker,Picus sharpei,1
Lesser Spotted Woodpecker,Dryobates minor,1
Eurasian Wigeon,Mareca penelope,0
Great Egret,Ardea alba,0
Corn Bunting,Emberiza calandra,0
Common Redpoll,Acanthis flammea,0
Eastern Olivaceous Warbler,Iduna pallida,0
Hazel Grouse,Tetrastes bonasia,0
Abert's Towhee,Melozone aberti,0
House Finch,Haemorhous mexicanus,0
Ladder-backed Woodpecker,Dryobates scalaris,1
Lucy's Warbler,Leiothlypis luciae,1
Pine Siskin,Spinus pinus,0
Rufous-winged Sparrow,Peucaea carpalis,0
Yellow-rumped Warbler,Setophaga coronata,0
Mountain Chickadee,Poecile gambeli,1
Orange-crowned Warbler,Leiothlypis celata,0
Wilson's Warbler,Cardellina pusilla,0
Yellow Warbler,Setophaga petechia,0
Snow Goose,Anser caerulescens,0
American Goldfinch,Spinus tristis,0
American Wigeon,Mareca americana,0
Townsend's Warbler,Setophaga townsendi,0
Nuttall's Woodpecker,Dryobates nuttallii,1
Black-throated Gray Warbler,Setophaga nigrescens,0
MacGillivray's Warbler,Geothlypis tolmiei,0
California Towhee,Melozone crissalis,0
Chestnut-backed Chickadee,Poecile rufescens,1
Purple Finch,Haemorhous purpureus,0
Varied Thrush,Ixoreus naevius,0
Lawrence's Goldfinch,Spinus lawrencei,0
Downy Woodpecker,Dryobates pubescens,1
Black-capped Chickadee,Poecile atricapillus,1
Cassin's Finch,Haemorhous cassinii,0
Hooded Warbler,Setophaga citrina,0
Northern Waterthrush,Parkesia noveboracensis,0
Blackpoll Warbler,Setophaga striata,0
Cape May Warbler,Setophaga tigrina,0
Tennessee Warbler,Leiothlypis peregrina,0
Louisiana Waterthrush,Parkesia motacilla,0
Carolina Chickadee,Poecile carolinensis,1
Pine Warbler,Setophaga pinus,0
Palm Warbler,Setophaga palmarum,0
Black-throated Green Warbler,Setophaga virens,0
Canada Warbler,Cardellina canadensis,0
Nashville Warbler,Leiothlypis ruficapilla,0
Blackburnian Warbler,Setophaga fusca,0
Chestnut-sided Warbler,Setophaga pensylvanica,0
Kentucky Warbler,Geothlypis formosa,0
Magnolia Warbler,Setophaga magnolia,0
Yellow-throated Warbler,Setophaga dominica,0
Northern Parula,Setophaga americana,0
Boreal Chickadee,Poecile hudsonicus,1
Black-faced Grassquit,Melanospiza bicolor,0
Buff-rumped Warbler,Myiothlypis fulvicauda,0
Rufous-and-white Wren,Thryophilus rufalbus,0
Banded Wren,Thryophilus pleurostictus,0
Galah,Eolophus roseicapilla,1
Yellow-faced Honeyeater,Caligavis chrysops,0
White-browed Warbler,Myiothlypis leucoblephara,0
White-eyed Parakeet,Psittacara leucophthalmus,1
Marsh Tit,Poecile palustris,1
Gadwall,Mareca strepera,0
Willow Tit,Poecile montanus,1
Coal Tit,Periparus ater,1
Crested Tit,Lophophanes cristatus,1
Winter Wren,Troglodytes hiemalis,1
Rainbow Lorikeet,Trichoglossus moluccanus,1
Little Grassbird,Poodytes gramineus,0
Cape White-eye,Zosterops virens,0
Bronze Mannikin,Spermestes cucullata,0
Swinhoe's White-eye,Zosterops simplex,0
Eurasian Blue Tit,Cyanistes caeruleus,1
Pacific Wren,Troglodytes pacificus,1
Gray-cowled Wood-Rail,Aramides cajaneus,0
Chivi Vireo,Vireo chivi,0
Lesson's Motmot,Momotus lessonii,1
Gray Fantail,Rhipidura albiscapa,0
Black-headed Gull,Chroicocephalus ridibundus,0
Bonaparte's Gull,Chroicocephalus philadelphia,0
Franklin's Gull,Leucophaeus pipixcan,0
Brown Jay,Psilorhinus morio,0
Alpine Swift,Apus melba,1
Sandhill Crane,Antigone canadensis,0
Hooded Crow,Corvus cornix,0
European Stonechat,Saxicola rubicola,0
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,0
Australasian Swamphen,Porphyrio melanotus,0
American Tree Sparrow,Spizelloides arborea,0
Baudin's Black-Cockatoo,Calyptorhynchus baudinii,1
Black Oystercatcher,Haematopus bachmani,0
Black-necked Stilt,Himantopus mexicanus,0
Cape Robin-Chat,Cossypha caffra,0
Carnaby's Black-Cockatoo,Calyptorhynchus latirostris,1
Crested Francolin,Dendroperdix sephaena,0
Evening Grosbeak,Coccothraustes vespertinus,0
Greater Whitethroat,Sylvia communis,0
Green Heron,Butorides virescens,0
Hairy Woodpecker,Dryobates villosus,1
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,0
Laughing Dove,Streptopelia senegalensis,0
Lesser Whitethroat,Sylvia curruca,0
Middle Spotted Woodpecker,Dendrocoptes medius,1
Pileated Woodpecker,Dryocopus pileatus,1
Rose-ringed Parakeet,Psittacula krameri,1
Spotted Dove,Streptopelia chinensis,0
Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,1
Barn Owl,Tyto alba,1
Barred Owl,Strix varia,1
Bell's Vireo,Vireo bellii,0
Black-capped Gnatcatcher,Polioptila nigriceps,0
Cave Swallow,Petrochelidon fulva,1
Cinnamon Hummingbird,Amazilia rutila,0
Common Nighthawk,Chordeiles minor,0
Couch's Kingbird,Tyrannus couchii,0
Elegant Tern,Thalasseus elegans,0
Great Horned Owl,Bubo virginianus ,0
Horned Lark,Eremophila alpestris,0
Lark Sparrow,Chondestes grammacus,0
Long-billed Thrasher,Toxostoma longirostre,0
Merlin,Falco columbarius,0
Rock Wren,Salpinctes obsoletus,1
Ruby-crowned Kinglet,Corthylio calendula ,0
Scissor-tailed Flycatcher,Tyrannus forficatus,0
Vermilion Flycatcher, Pyrocephalus rubinus,0
Northern Harrier,Circus hudsonius,0
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,0
Spotted Sandpiper,Actitis macularius,0
Greater Roadrunner,Geococcyx californianus,0
Lincoln's Sparrow,Melospiza lincolnii,0
Green-tailed Towhee,Pipilo chlorurus,0
Golden-fronted Woodpecker,Melanerpes aurifrons,1
Vesper Sparrow,Pooecetes gramineus,0
Laughing Gull,Leucophaeus atricilla,0
Canyon Towhee,Melozone fusca,0
Bullock's Oriole,Icterus bullockii,0
Baird's Sandpiper,Calidris bairdii,0
Green Jay,Cyanocorax yncas,0
Black-capped Vireo,Vireo atricapilla,0
Cattle Egret,Bubulcus ibis,0
Roseate Spoonbill,Platalea ajaja,0
Grasshopper Sparrow,Ammodramus savannarum,0
Northern Saw-whet Owl,Aegolius acadicus,1
Royal Tern,Thalasseus maximus,0
Black-bellied Plover,Pluvialis squatarola,0
Brown-crested Flycatcher,Myiarchus tyrannulus,1
Lark Bunting,Calamospiza melanocorys,0
Cassin's Sparrow,Peucaea cassinii,0
Yellow-breasted Chat,Icteria virens,0
Chuck-will's-widow,Antrostomus carolinensis,0
American Pipit,Anthus rubescens,0
Solitary Sandpiper,Tringa solitaria,0
Rough-legged Hawk,Buteo lagopus,0
