com_name,sci_name_bw,sci_name_elton,sci_name_botw,nocturnal,cavity
Middle Spotted Woodpecker,Dendrocoptes medius,Dendrocopos medius,Leiopicus medius,0,1
Neotropic Cormorant,Phalacrocorax brasilianus,Phalacrocorax brasilianus,Nannopterum brasilianum,0,0
Ochre-breasted Tanager,Chlorothraupis stolzmanni,Chlorothraupis stolzmanni,Habia stolzmanni,0,
Olive-backed Woodpecker,Dinopium rafflesii,Dinopium rafflesii,Chloropicoides rafflesii,0,1
Pallid Cuckoo,Cacomantis pallidus,Cuculus pallidus,Heteroscenes pallidus,0,
Palm Tanager,Thraupis palmarum,Thraupis palmarum,Tangara palmarum,0,
Pileated Woodpecker,Dryocopus pileatus,Dryocopus pileatus,Hylatomus pileatus,0,1
Purple-naped Spiderhunter,Kurochkinegramma hypogrammicum,Hypogramma hypogrammicum,Kurochkinegramma hypogrammica,0,
Red-cockaded Woodpecker,Dryobates borealis,Picoides borealis,Leuconotopicus borealis,0,1
Rose-ringed Parakeet,Psittacula krameri,Psittacula krameri,Alexandrinus krameri,0,
Ruby-crowned Kinglet,Regulus calendula,Regulus calendula,Corthylio calendula,0,0
Sapphire-spangled Emerald,Amazilia lactea,Amazilia lactea,Chionomesaï¿½lactea,0,
Sardinian Warbler,Sylvia melanocephala,Sylvia melanocephala,Currucaï¿½melanocephala,0,
Sayaca Tanager,Thraupis sayaca,Thraupis sayaca,Tangara sayaca,0,
Shining Bronze-Cuckoo,Chrysococcyx lucidus,Chrysococcyx lucidus,Chalcites lucidus,0,
Sombre Hummingbird,Aphantochroa cirrochloris,Aphantochroa cirrochloris,Eupetomenaï¿½cirrochloris,0,0
Spotted Dove,Streptopelia chinensis,Stigmatopelia chinensis,Spilopelia chinensis,0,0
Variegated Bristle-Tyrant,Phylloscartes poecilotis,Phylloscartes poecilotis,Pogonotriccus poecilotis,0,
White-headed Woodpecker,Dryobates albolarvatus,Picoides albolarvatus,Leuconotopicus albolarvatus,0,1
White-throated Magpie-Jay,Calocitta formosa,Calocitta formosa,Cyanocorax formosus,0,
Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,Calyptorhynchus funereus,Zanda funerea,0,
Ruby-crowned Kinglet,Corthylio calendula,Regulus calendula,,,
Black-capped Gnatcatcher,Polioptila nigriceps,Polioptila nigriceps,,,
Long-billed Thrasher,Toxostoma longirostre,Toxostoma longirostre,,,
Cinnamon Hummingbird,Amazilia rutila,Amazilia rutila,,,
Cave Swallow,Petrochelidon fulva,Petrochelidon fulva,,,
